Date,Date entered,Reference,Description,Amount,Card Ending,
24/06/2026,25/06/2026,10467895,WARWICKSHIRE CC        WARWICK       ENG ,3.60,0757
24/06/2026,25/06/2026,10469437,LEAMINGTON SERVICE STA WARWICKSHIRE  ENG ,15.88,0757
22/06/2026,23/06/2026,10482224,RONTEC WEATHEROAKS     WEST MIDLANDS GBR ,158.25,0757
17/06/2026,18/06/2026,10498691,SAINSBURYS PETROL      OLDBURY       GBR ,127.80,0757
16/06/2026,17/06/2026,10482287,SHELL SALFORD          SALFORD       GBR ,9.81,0757
12/06/2026,22/06/2026,10230431,SANDYFORD SERVICE STAT STOKE ON TREN GBR ,137.50,0757
12/06/2026,12/06/2026,10123844,GSF                    Stoke on Tren GBR ,57.08,0757
10/06/2026,11/06/2026,10498062,COUNTY TYRES STAFFORD  Stafford      GBR ,135.00,0757
09/06/2026,10/06/2026,10218916,K2 PLASTICS            Liverpool     GBR ,4.00,0757
09/06/2026,10/06/2026,10078267,SAXON CROSS SERVICE ST SANDBACH      GBR ,133.67,0757
08/06/2026,09/06/2026,10492066,HOME BARGAINS CHILDWAL LIVERPOOL     GBR ,13.97,0757
08/06/2026,09/06/2026,10098851,B&Q MARKETPLACE        EASTLEIGH     GBR ,13.50,0757
08/06/2026,09/06/2026,10088274,SANDBACH NORTH CONNECT SANDBACH      GBR ,20.13,0757
08/06/2026,09/06/2026,10088275,SANDYFORD SERVICE STAT STOKE ON TREN GBR ,10.11,0757
05/06/2026,05/06/2026,00763935,DIRECT DEBIT PAYMENT - THANK YOU ,-878.74,
04/06/2026,05/06/2026,10089934,EG ON THE MOVE FICKLE  CHAPEL-EN-LE- GBR ,19.36,0757
03/06/2026,04/06/2026,10515843,BURTON ROOFING MERCHAN MACCLESFIELD  GBR ,72.84,0757
03/06/2026,04/06/2026,10091841,SCREWFIX DIRECT        WWW.SCREWFIX. GBR ,28.54,0757
02/06/2026,03/06/2026,10528051,TOOLSTATION UK         NORTHAMPTON   ENG ,23.60,0757
02/06/2026,03/06/2026,10533948,BURSLEM FILLING STATIO STOKE ON TREN GBR ,134.07,0757
02/06/2026,03/06/2026,10050015,KINGSWAY SERVICE STATI MANCHESTER    GBR ,15.92,0757
01/06/2026,03/06/2026,10237782,CASTLE DONINGTON SERVI DERBY         GBR ,9.92,0757
29/05/2026,01/06/2026,10595307,Sainsburys Smkts       Stoke         GBR ,99.00,0757
29/05/2026,01/06/2026,10595308,Sainsburys Smkts       Stoke         GBR ,35.54,0757
28/05/2026,29/05/2026,10604811,DB AUTOS AND SONS LIMI STOKE-ON-TREN ENG ,673.00,0757
26/05/2026,27/05/2026,10127787,KINGSWAY SERVICE STATI MANCHESTER    GBR ,27.29,0757
