'Ref','Date','Time','Description','Profile ID','Cart ID','Type','Batch','Matured','Debit','Credit','Balance'
"3313834585","05/05/2026","09:34:36","Sale 08S1C25C339","5957624","1","Sale Settlement","05/05/2026","05/05/2026","","150.00","150.00"
"3313834585","05/05/2026","09:34:36","Merchant Service Charge for Sale Ref: 08S1C25C339","5957624","1","Merchant Service Charge","05/05/2026","05/05/2026","1.30","","148.70"
"3314083844","05/05/2026","14:04:54","Sale 08S1C26775D","5957624","1","Sale Settlement","06/05/2026","06/05/2026","","150.00","298.70"
"3314083844","05/05/2026","14:04:54","Merchant Service Charge for Sale Ref: 08S1C26775D","5957624","1","Merchant Service Charge","06/05/2026","06/05/2026","1.30","","297.40"
"3314431092","05/05/2026","20:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","148.70","","148.70"
"3314670181","06/05/2026","01:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","148.70","","0.00"
"3314890942","06/05/2026","08:12:54","Sale 08S1C283F92","5957624","1","Sale Settlement","06/05/2026","06/05/2026","","108.00","108.00"
"3314890942","06/05/2026","08:12:54","Merchant Service Charge for Sale Ref: 08S1C283F92","5957624","1","Merchant Service Charge","06/05/2026","06/05/2026","0.95","","107.05"
"3314917417","06/05/2026","08:46:42","Sale 08S1C284C45","5957624","1","Sale Settlement","06/05/2026","06/05/2026","","240.00","347.05"
"3314917417","06/05/2026","08:46:42","Merchant Service Charge for Sale Ref: 08S1C284C45","5957624","1","Merchant Service Charge","06/05/2026","06/05/2026","2.07","","344.98"
"3315018184","06/05/2026","10:38:51","Sale 08S1C287E0D","5957624","1","Sale Settlement","06/05/2026","06/05/2026","","174.00","518.98"
"3315018184","06/05/2026","10:38:51","Merchant Service Charge for Sale Ref: 08S1C287E0D","5957624","1","Merchant Service Charge","06/05/2026","06/05/2026","1.51","","517.47"
"3315125074","06/05/2026","12:24:40","Sale 08S1C28B4F8","5957624","1","Sale Settlement","06/05/2026","06/05/2026","","108.00","625.47"
"3315125074","06/05/2026","12:24:40","Merchant Service Charge for Sale Ref: 08S1C28B4F8","5957624","1","Merchant Service Charge","06/05/2026","06/05/2026","0.95","","624.52"
"3315561603","06/05/2026","19:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","344.98","","279.54"
"3315702798","06/05/2026","21:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","172.49","","107.05"
"3315838372","06/05/2026","23:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","107.05","","0.00"
"3316138766","07/05/2026","08:46:43","Sale 08S1C2A6BA8","5957624","1","Sale Settlement","07/05/2026","07/05/2026","","222.00","222.00"
"3316138766","07/05/2026","08:46:43","Merchant Service Charge for Sale Ref: 08S1C2A6BA8","5957624","1","Merchant Service Charge","07/05/2026","07/05/2026","0.81","","221.19"
"3316259066","07/05/2026","10:52:53","Sale 08S1C2AA798","5957624","1","Sale Settlement","07/05/2026","07/05/2026","","198.00","419.19"
"3316259066","07/05/2026","10:52:53","Merchant Service Charge for Sale Ref: 08S1C2AA798","5957624","1","Merchant Service Charge","07/05/2026","07/05/2026","0.72","","418.47"
"3316336595","07/05/2026","12:10:42","Sale 08S1C2ACF84","5957624","1","Sale Settlement","07/05/2026","07/05/2026","","207.60","626.07"
"3316336595","07/05/2026","12:10:42","Merchant Service Charge for Sale Ref: 08S1C2ACF84","5957624","1","Merchant Service Charge","07/05/2026","07/05/2026","0.76","","625.31"
"3316406225","07/05/2026","13:30:35","Sale 08S1C2AF4A3","5957624","1","Sale Settlement","07/05/2026","08/05/2026","","150.00","775.31"
"3316406225","07/05/2026","13:30:35","Merchant Service Charge for Sale Ref: 08S1C2AF4A3","5957624","1","Merchant Service Charge","07/05/2026","08/05/2026","0.55","","774.76"
"3316779278","07/05/2026","19:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","221.19","","553.57"
"3316923728","07/05/2026","21:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","197.28","","356.29"
"3317022142","07/05/2026","23:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","206.84","","149.45"
"3317054176","08/05/2026","00:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","149.45","","0.00"
"3317430011","08/05/2026","08:44:46","Sale 08S1C2C87A6","5957624","1","Sale Settlement","08/05/2026","08/05/2026","","108.00","108.00"
"3317430011","08/05/2026","08:44:46","Merchant Service Charge for Sale Ref: 08S1C2C87A6","5957624","1","Merchant Service Charge","08/05/2026","08/05/2026","0.41","","107.59"
"3317518373","08/05/2026","10:10:49","Sale 08S1C2CB6EE","5957624","1","Sale Settlement","08/05/2026","08/05/2026","","354.00","461.59"
"3317518373","08/05/2026","10:10:49","Merchant Service Charge for Sale Ref: 08S1C2CB6EE","5957624","1","Merchant Service Charge","08/05/2026","08/05/2026","3.04","","458.55"
"3317725789","08/05/2026","13:06:52","Sale 08S1C2D23B2","5957624","1","Sale Settlement","08/05/2026","09/05/2026","","174.00","632.55"
"3317725789","08/05/2026","13:06:52","Merchant Service Charge for Sale Ref: 08S1C2D23B2","5957624","1","Merchant Service Charge","08/05/2026","09/05/2026","0.64","","631.91"
"3318166188","08/05/2026","19:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","107.59","","524.32"
"3318313954","08/05/2026","21:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","350.96","","173.36"
"3318447864","09/05/2026","00:00:00","Maturity of Sales for Account: 46795987",,"","Transfer for Remittance","","","173.36","","0.00"
"3320916143","11/05/2026","08:25:17","Sale 08S1C32538A","5957624","1","Sale Settlement","11/05/2026","11/05/2026","","258.00","258.00"
"3320916143","11/05/2026","08:25:17","Merchant Service Charge for Sale Ref: 08S1C32538A","5957624","1","Merchant Service Charge","11/05/2026","11/05/2026","0.93","","257.07"
"3321057541","11/05/2026","11:05:10","Sale 08S1C329D0F","5957624","1","Sale Settlement","11/05/2026","11/05/2026","","288.00","545.07"
"3321057541","11/05/2026","11:05:10","Merchant Service Charge for Sale Ref: 08S1C329D0F","5957624","1","Merchant Service Charge","11/05/2026","11/05/2026","1.04","","544.03"
"3321274500","11/05/2026","14:53:16","Sale 08S1C330C53","5957624","1","Sale Settlement","12/05/2026","12/05/2026","","426.00","970.03"
"3321274500","11/05/2026","14:53:16","Merchant Service Charge for Sale Ref: 08S1C330C53","5957624","1","Merchant Service Charge","12/05/2026","12/05/2026","1.52","","968.51"
