week_start,week_end,income_ex_vat,spending_ex_vat,profit_ex_vat,income_inc_vat,spending_inc_vat,profit_inc_vat,supplier_bills_ex_vat,spend_money_ex_vat,customer_invoice_count,supplier_bill_count,spend_money_count
2024-08-05,2024-08-11,0.00,2.81,-2.81,0.00,3.28,-3.28,0.00,2.81,0,0,1
2024-08-12,2024-08-18,4335.07,4241.84,93.23,5202.08,5740.88,-538.80,0.00,4241.84,25,0,22
2024-08-19,2024-08-25,3027.41,2326.53,700.88,3632.90,2391.48,1241.42,0.00,2326.53,19,0,24
2024-08-26,2024-09-01,3239.33,1558.06,1681.27,3887.20,1607.88,2279.32,0.00,1558.06,20,0,22
2024-09-02,2024-09-08,4278.41,2519.74,1758.67,5134.10,2598.04,2536.06,0.00,2519.74,22,0,30
2024-09-09,2024-09-15,5129.50,2908.04,2221.46,6155.40,3009.76,3145.64,0.00,2908.04,30,0,34
2024-09-16,2024-09-22,4831.47,2831.51,1999.96,5797.76,3114.35,2683.41,0.00,2831.51,18,0,22
2024-09-23,2024-09-29,3781.51,2030.11,1751.40,4537.81,2073.49,2464.32,0.00,2030.11,26,0,17
2024-09-30,2024-10-06,5499.13,3471.82,2027.31,6598.96,3761.79,2837.17,0.00,3471.82,35,0,37
2024-10-07,2024-10-13,5926.34,3588.38,2337.96,7111.60,3671.31,3440.29,0.00,3588.38,32,0,33
2024-10-14,2024-10-20,3307.36,3178.27,129.09,3968.84,3560.62,408.22,0.00,3178.27,24,0,27
2024-10-21,2024-10-27,3560.24,1170.72,2389.52,4272.29,1199.22,3073.07,0.00,1170.72,22,0,13
2024-10-28,2024-11-03,5688.67,1950.62,3738.05,6826.40,2061.17,4765.23,0.00,1950.62,36,0,29
2024-11-04,2024-11-10,3312.40,1671.17,1641.23,3974.88,1731.32,2243.56,0.00,1671.17,18,0,18
2024-11-11,2024-11-17,3245.60,1499.35,1746.25,3894.72,1577.59,2317.13,0.00,1499.35,20,0,17
2024-11-18,2024-11-24,4894.53,3801.39,1093.14,5873.44,4428.41,1445.03,0.00,3801.39,31,0,32
2024-11-25,2024-12-01,4021.80,2566.09,1455.71,4826.16,2931.57,1894.59,0.00,2566.09,27,0,27
2024-12-02,2024-12-08,7675.00,2104.98,5570.02,9210.00,2447.14,6762.86,33.00,2071.98,37,1,41
2024-12-09,2024-12-15,4854.75,3070.15,1784.60,5825.70,3372.01,2453.69,0.00,3070.15,32,0,34
2024-12-16,2024-12-22,4009.38,4853.06,-843.68,4811.26,5568.09,-756.83,0.00,4853.06,26,0,33
2024-12-23,2024-12-29,1060.00,1564.27,-504.27,1272.00,1775.00,-503.00,0.00,1564.27,7,0,19
2024-12-30,2025-01-05,822.55,685.93,136.62,987.06,759.40,227.66,0.00,685.93,5,0,9
2025-01-06,2025-01-12,3701.90,1817.23,1884.67,4442.28,1894.08,2548.20,0.00,1817.23,24,0,29
2025-01-13,2025-01-19,3769.69,3278.53,491.16,4523.63,3781.06,742.57,0.00,3278.53,24,0,27
2025-01-20,2025-01-26,2487.65,2207.23,280.42,2982.25,2532.96,449.29,0.00,2207.23,13,0,29
2025-01-27,2025-02-02,3723.48,1390.87,2332.61,4468.18,1586.45,2881.73,0.00,1390.87,24,0,30
2025-02-03,2025-02-09,3805.37,1078.83,2726.54,4566.44,1224.39,3342.05,0.00,1078.83,25,0,32
2025-02-10,2025-02-16,4496.00,3471.17,1024.83,5395.20,3851.63,1543.57,11.25,3459.92,23,1,39
2025-02-17,2025-02-23,5114.20,6376.12,-1261.92,6137.04,7389.26,-1252.22,0.00,6376.12,29,0,58
2025-02-24,2025-03-02,3709.00,3254.47,454.53,4450.80,3768.62,682.18,0.00,3254.47,22,0,38
